ID,Target,Tweet,Stance,Opinion towards,Sentiment,trump_stance
20004,Donald Trump,"@ABC Stupid is as stupid does! Showedhis true colors; seems that he ignores that US was invaded, & plundered,not discovered #SemST",AGAINST,TARGET,NEGATIVE,Against
20006,Donald Trump,Donald Trump isn't afraid to roast everyone. #SemST,FAVOR,TARGET,POSITIVE,Favor
20007,Donald Trump,Donald Trump for president? I can dig it.  #SemST,FAVOR,TARGET,POSITIVE,Favor
20011,Donald Trump,@USAlivestrong @scottscameron @ljmljm55 @blondygirl1 @eavesdropann @autumkat @texasflutegal 100% Support #Trump.. #SemST,FAVOR,TARGET,POSITIVE,Favor
20013,Donald Trump,"Considering the fact that Bush was a president of this country, I don't see it a joke that Trump is running ! #Election2016 #SemST",FAVOR,TARGET,NEGATIVE,Favor
20017,Donald Trump,@realDonaldTrump  I like Mexicans who come to US legally.  #IStandWithTrump #SemST,FAVOR,TARGET,POSITIVE,Favor
20018,Donald Trump,We need Obama out and @realDonaldTrump in the White House ASAP #SemST,FAVOR,TARGET,POSITIVE,Favor
20020,Donald Trump,Dear @realDonaldTrump: You are an idiot. #america #politics #sticktoyourhair #SemST,AGAINST,TARGET,NEGATIVE,Against
20022,Donald Trump,Donald Trump inhaled so much air spray & started to believe he is the title holder for the United States. #SemST,AGAINST,TARGET,NEGATIVE,Against
20024,Donald Trump,.@realDonaldTrump should've kept his mouth shut & not run for Pres. He is making the biggest fool out of himself. He's fired #SemST,AGAINST,TARGET,NEGATIVE,Against
20026,Donald Trump,@peddoc63 @realDonaldTrump So I guess Univision is Fair & Balanced. These are the people that R helping shape USA! #SemST,AGAINST,TARGET,NEGATIVE,Against
20027,Donald Trump,"#presidentialelection2016  Make plans to help your future now, so that later you don't regret it, again! Vote @realDonaldTrump #SemST",FAVOR,TARGET,POSITIVE,Favor
20029,Donald Trump,"@realDonaldTrump you know that middle class is Latino's, right? You just shitted all over that working class you claim to need. #SemST",AGAINST,TARGET,NEGATIVE,Against
20032,Donald Trump,RT @AhmedtheBanker: Let's not forget @realDonaldTrump lost money running a casino. #SemST,AGAINST,TARGET,NEGATIVE,Against
20034,Donald Trump,"@realDonaldTrump did not apply to immigrants one of the trade basis, WIN TO WIN. Ignorance can not be excuse #SemST",AGAINST,TARGET,NEGATIVE,Against
20052,Donald Trump,Trump for prez he couldn't do any worse so give him a shot #SemST,FAVOR,TARGET,POSITIVE,Favor
20056,Donald Trump,@realDonaldTrump No more Bush or Hillary Clinton #SemST,FAVOR,TARGET,NEGATIVE,Favor
20057,Donald Trump,Been slacking on my @realDonaldTrump retweets.. had some catching up to do .. #Trumpforpresident #SemST,FAVOR,TARGET,POSITIVE,Favor
20060,Donald Trump,"The moment you opened your mouth,  that was the end of your candidate trip! @realDonaldTrump #SemST",AGAINST,TARGET,NEGATIVE,Against
20061,Donald Trump,And how many  #latinos enemies you gained in 1 week? 50 million!! @realDonaldTrump #SemST,AGAINST,TARGET,NEGATIVE,Against
